id,alcoholic,IBA,category_Cocktail,category_Ordinary Drink,category_Punch / Party Drink,glass_Brandy snifter,glass_Champagne flute,glass_Cocktail glass,glass_Collins glass,glass_Copper Mug,glass_Highball glass,glass_Old-fashioned glass,glass_Pousse cafe glass,glass_Whiskey Glass,glass_Whiskey sour glass,glass_White wine glass,ingredientInName,instructionsLength,tagsCount,ingredientsCount,classic,gin
11368,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1764705882352941,0.0,0.0,0,1
11369,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0784313725490196,0.0,0.5,0,0
11375,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0980392156862745,0.0,0.25,0,0
11382,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3921568627450981,0.0,0.5,0,0
11387,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6274509803921569,0.0,1.0,0,0
11390,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.4509803921568627,0.0,0.5,0,0
11391,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4509803921568627,0.0,0.5,0,0
11396,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1568627450980392,0.0,0.5,0,1
11403,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.29411764705882354,0.0,0.25,0,1
11407,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.7450980392156863,0.0,0.75,0,1
11408,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.4509803921568627,0.0,1.0,0,1
11410,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.1568627450980392,0.2222222222222222,0.5,1,1
11415,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.4509803921568627,0.0,0.75,0,1
11416,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3921568627450981,0.2222222222222222,1.0,0,1
11417,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.43137254901960786,0.1111111111111111,0.75,0,1
11418,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.4901960784313726,0.0,1.0,0,1
11419,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7254901960784313,0.0,0.75,0,1
11420,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3137254901960784,0.0,0.5,0,1
11422,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.11764705882352944,0.0,0.25,0,0
11423,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.11764705882352944,0.2222222222222222,0.0,1,0
11424,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0784313725490196,0.2222222222222222,0.0,1,0
11433,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4117647058823529,0.0,0.75,0,1
11462,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.23529411764705882,0.2222222222222222,0.25,1,0
11470,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.21568627450980393,0.0,0.25,0,0
11472,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0784313725490196,0.0,0.25,0,1
11476,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.196078431372549,0.0,0.5,0,0
11524,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,0.0,0.75,0,0
11528,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3921568627450981,0.0,1.0,0,0
11542,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0784313725490196,0.1111111111111111,0.25,0,0
11558,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,0.0,1.0,0,0
11566,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.23529411764705882,0.0,0.25,0,1
11580,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.21568627450980393,0.1111111111111111,1.0,0,0
11600,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0784313725490196,0.2222222222222222,0.25,0,0
11602,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.019607843137254888,0.0,0.0,0,0
11604,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3137254901960784,0.0,0.25,0,0
11634,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,1.0,0,1
11658,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3529411764705882,0.0,0.5,0,0
11662,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.23529411764705882,0.0,0.25,0,1
11664,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.05882352941176472,0.0,0.0,0,1
